age,employment_type,monthly_income,monthly_expenses,existing_loans,own_contribution,property_value,dependents,target
8888.0,permanent,13666.666666666666,4100.0,0,20000.0,105000.0,0,1
8888.0,permanent,53666.666666666664,16099.999999999998,0,60000.0,315000.0,0,1
8888.0,permanent,214666.66666666666,64399.99999999999,0,190000.0,525000.0,0,1
8888.0,permanent,62333.333333333336,18700.0,0,20000.0,85000.0,0,1
8888.0,permanent,62333.333333333336,18700.0,0,30000.0,145000.0,0,1
8888.0,permanent,85000.0,25500.0,0,10000.0,225000.0,0,1
8888.0,permanent,28666.666666666668,8600.0,0,40000.0,255000.0,0,1
8888.0,permanent,15000.0,4500.0,0,280000.0,385000.0,0,1
8888.0,permanent,30333.333333333332,9100.0,0,130000.0,165000.0,0,0
8888.0,permanent,19000.0,5700.0,0,30000.0,245000.0,0,0
8888.0,permanent,43000.0,12900.0,0,690000.0,755000.0,0,1
8888.0,permanent,10333.333333333334,3100.0,0,0.0,115000.0,0,1
8888.0,permanent,29000.0,8700.0,0,10000.0,265000.0,0,1
8888.0,permanent,36666.666666666664,10999.999999999998,0,320000.0,365000.0,0,1
8888.0,permanent,26666.666666666668,8000.0,0,150000.0,685000.0,0,0
8888.0,permanent,45000.0,13500.0,0,330000.0,435000.0,0,1
8888.0,permanent,150000.0,45000.0,0,1150000.0,1275000.0,0,1
8888.0,permanent,56000.0,16800.0,0,180000.0,515000.0,0,1
8888.0,permanent,32333.333333333332,9700.0,0,420000.0,435000.0,0,1
8888.0,permanent,54333.333333333336,16300.0,0,880000.0,915000.0,0,1
8888.0,permanent,19333.333333333332,5799.999999999999,0,10000.0,85000.0,0,0
8888.0,permanent,8666.666666666666,2599.9999999999995,0,130000.0,165000.0,0,0
8888.0,permanent,368000.0,110400.0,0,320000.0,355000.0,0,0
8888.0,permanent,40000.0,12000.0,0,90000.0,105000.0,0,0
8888.0,permanent,20000.0,6000.0,0,200000.0,355000.0,0,0
8888.0,permanent,18666.666666666668,5600.0,0,100000.0,255000.0,0,0
8888.0,permanent,25000.0,7500.0,0,0.0,135000.0,0,0
8888.0,permanent,27333.333333333332,8200.0,0,90000.0,155000.0,0,0
8888.0,permanent,39666.666666666664,11899.999999999998,0,220000.0,275000.0,0,1
8888.0,permanent,49666.666666666664,14899.999999999998,0,520000.0,655000.0,0,1
8888.0,permanent,31333.333333333332,9400.0,0,1050000.0,1155000.0,0,1
8888.0,permanent,24000.0,7200.0,0,490000.0,695000.0,0,0
8888.0,permanent,41333.333333333336,12400.0,0,680000.0,835000.0,0,0
8888.0,permanent,160000.0,48000.0,0,1950000.0,2205000.0,0,0
8888.0,permanent,26666.666666666668,8000.0,0,120000.0,175000.0,0,1
8888.0,permanent,7000.0,2100.0,0,70000.0,95000.0,0,0
8888.0,permanent,33333.333333333336,10000.0,0,110000.0,125000.0,0,1
8888.0,permanent,33333.333333333336,10000.0,0,70000.0,155000.0,0,1
8888.0,permanent,33333.333333333336,10000.0,0,90000.0,185000.0,0,1
8888.0,permanent,33333.333333333336,10000.0,0,110000.0,225000.0,0,1
8888.0,permanent,80000.0,24000.0,0,180000.0,195000.0,0,1
8888.0,permanent,412000.0,123600.0,0,50000.0,225000.0,0,1
8888.0,permanent,412000.0,123600.0,0,190000.0,235000.0,0,1
8888.0,permanent,412000.0,123600.0,0,190000.0,235000.0,0,1
8888.0,permanent,412000.0,123600.0,0,30000.0,135000.0,0,1
8888.0,permanent,412000.0,123600.0,0,30000.0,165000.0,0,1
8888.0,permanent,412000.0,123600.0,0,50000.0,225000.0,0,1
8888.0,permanent,412000.0,123600.0,0,70000.0,325000.0,0,1
8888.0,permanent,412000.0,123600.0,0,50000.0,225000.0,0,1
8888.0,permanent,1417666.6666666667,425300.0,0,50000.0,205000.0,0,1
8888.0,permanent,36000.0,10800.0,0,890000.0,915000.0,0,0
8888.0,permanent,16666.666666666668,5000.0,0,210000.0,1055000.0,0,1
8888.0,permanent,166333.33333333334,49900.0,0,1450000.0,4205000.0,0,1
8888.0,permanent,36666.666666666664,10999.999999999998,0,100000.0,195000.0,0,1
8888.0,permanent,57000.0,17100.0,0,80000.0,185000.0,0,1
8888.0,permanent,26000.0,7800.0,0,70000.0,305000.0,0,0
8888.0,permanent,17333.333333333332,5199.999999999999,0,0.0,265000.0,0,0
8888.0,permanent,9000.0,2700.0,0,320000.0,535000.0,0,1
8888.0,permanent,24666.666666666668,7400.0,0,180000.0,625000.0,0,1
8888.0,permanent,5000.0,1500.0,0,180000.0,295000.0,0,0
8888.0,permanent,50333.333333333336,15100.0,0,390000.0,1105000.0,0,0
8888.0,permanent,60000.0,18000.0,0,500000.0,605000.0,0,0
8888.0,permanent,312000.0,93600.0,0,180000.0,655000.0,0,1
8888.0,permanent,26666.666666666668,8000.0,0,250000.0,305000.0,0,1
